stock,date,time,sentiment,year,month,day,open,high,low,close,adj_close,volume
AMZN,2023-12-27,01:23:49,true,2023,12,27,153.559998,154.779999,153.119995,153.339996,153.339996,31434700
AMZN,2024-01-26,15:58:23,true,2024,01,26,158.419998,160.720001,157.910004,159.119995,159.119995,51047400
AMZN,2024-01-29,02:02:40,true,2024,01,29,159.339996,161.289993,158.899994,161.259995,161.259995,45270400
AMZN,2024-02-01,21:29:07,inconclusive,2024,02,01,155.869995,159.759995,155.619995,159.279999,159.279999,76542400
AMZN,2024-01-08,20:31:02,true,2024,01,08,146.740005,149.399994,146.149994,149.100006,149.100006,46757100
AMZN,2023-05-18,02:11:18,true,2023,05,18,116.690002,118.599998,116.339996,118.150002,118.150002,73174100
AMZN,2023-08-03,20:12:12,false,2023,08,03,127.480003,129.839996,126.410004,128.910004,128.910004,88585200
AMZN,2023-09-15,18:41:19,false,2023,09,15,142.690002,143.570007,140.089996,140.389999,140.389999,102861700
AMZN,2023-05-27,19:52:29,inconclusive,2023,05,27,116.040001,121.500000,116.019997,120.110001,120.110001,96779900
AMZN,2023-04-27,18:00:07,inconclusive,2023,04,27,108.160004,110.860001,106.800003,109.820000,109.820000,149961200
AMZN,2023-04-28,11:32:40,false,2023,04,28,107.730003,109.480003,104.330002,105.449997,105.449997,130565000
AMZN,2023-04-27,14:56:03,true,2023,04,27,108.160004,110.860001,106.800003,109.820000,109.820000,149961200
AMZN,2024-02-01,22:55:30,true,2024,02,01,155.869995,159.759995,155.619995,159.279999,159.279999,76542400
AMZN,2024-01-27,23:18:12,true,2024,01,27,158.419998,160.720001,157.910004,159.119995,159.119995,51047400
AMZN,2024-02-01,22:31:13,false,2024,02,01,155.869995,159.759995,155.619995,159.279999,159.279999,76542400
AMZN,2024-01-26,12:39:39,true,2024,01,26,158.419998,160.720001,157.910004,159.119995,159.119995,51047400
AMZN,2023-04-20,00:56:41,inconclusive,2023,04,20,103.529999,105.250000,103.209999,103.809998,103.809998,57696900
