stock,date,time,sentiment,year,month,day,open,high,low,close,adj_close,volume
AAPL,2024-02-04,17:15:01,inconclusive,2024,02,04,179.860001,187.330002,179.250000,185.850006,185.613159,102518000
AAPL,2023-12-21,07:42:50,false,2023,12,21,196.100006,197.080002,193.500000,194.679993,194.431885,46482500
AAPL,2024-01-21,04:45:59,inconclusive,2024,01,21,189.330002,191.949997,188.820007,191.559998,191.315872,68741000
AAPL,2024-02-01,15:45:49,inconclusive,2024,02,01,183.990005,186.949997,183.820007,186.860001,186.621872,64885400
AAPL,2024-02-05,16:41:09,true,2024,02,05,188.149994,189.250000,185.839996,187.679993,187.440811,69668800
AAPL,2023-09-12,18:22:30,false,2023,09,12,179.490005,180.130005,174.820007,176.300003,175.843674,90370200
AAPL,2023-06-06,10:12:48,inconclusive,2023,06,06,179.970001,180.119995,177.429993,179.210007,178.505081,64848400
AAPL,2023-12-09,12:49:23,inconclusive,2023,12,09,194.199997,195.990005,193.669998,195.710007,195.460587,53377300
AAPL,2023-04-12,19:17:56,false,2023,04,12,161.220001,162.059998,159.779999,160.100006,159.249985,50133100
AAPL,2023-07-19,16:10:18,inconclusive,2023,07,19,193.100006,198.229996,192.649994,195.100006,194.332565,80507300
AAPL,2023-06-06,01:35:26,inconclusive,2023,06,06,179.970001,180.119995,177.429993,179.210007,178.505081,64848400
AAPL,2023-09-14,17:48:18,inconclusive,2023,09,14,174.000000,176.100006,173.580002,175.740005,175.285110,60895800
AAPL,2023-09-15,18:41:19,false,2023,09,15,176.479996,176.500000,173.820007,175.009995,174.556992,109205100
AAPL,2023-12-15,23:32:04,inconclusive,2023,12,15,197.529999,198.399994,197.000000,197.570007,197.318222,128256700
AAPL,2023-03-06,17:17:37,true,2023,03,06,153.789993,156.300003,153.460007,153.830002,153.013275,87558000
AAPL,2023-06-18,01:17:03,inconclusive,2023,06,18,186.729996,186.990005,184.270004,184.919998,184.192627,101235600
AAPL,2023-09-14,02:53:48,false,2023,09,14,174.000000,176.100006,173.580002,175.740005,175.285110,60895800
AAPL,2023-08-03,21:54:06,false,2023,08,03,191.570007,192.369995,190.690002,191.169998,190.418030,61235200
AAPL,2023-08-04,13:40:05,false,2023,08,04,185.520004,187.380005,181.919998,181.990005,181.274139,115799700
AAPL,2023-07-01,14:49:31,true,2023,07,01,191.630005,194.479996,191.259995,193.970001,193.207016,85069600
AAPL,2023-11-06,15:39:15,false,2023,11,06,176.380005,179.429993,176.210007,179.229996,178.766068,63841300
AAPL,2023-07-30,20:37:12,false,2023,07,30,194.669998,196.630005,194.139999,195.830002,195.059708,48291400
AAPL,2023-08-06,05:18:40,false,2023,08,06,185.520004,187.380005,181.919998,181.990005,181.274139,115799700
AAPL,2024-02-02,16:29:32,inconclusive,2024,02,02,179.860001,187.330002,179.250000,185.850006,185.613159,102518000
AAPL,2023-05-04,20:56:30,true,2023,05,04,164.889999,167.039993,164.309998,165.789993,164.909744,81235400
AAPL,2023-06-30,22:24:23,false,2023,06,30,191.630005,194.479996,191.259995,193.970001,193.207016,85069600
AAPL,2023-06-06,22:25:56,false,2023,06,06,179.970001,180.119995,177.429993,179.210007,178.505081,64848400
