stock,date,time,sentiment,year,month,day,open,high,low,close,adj_close,volume
META,2023-12-06,23:32:05,false,2023,12,06,321.929993,322.250000,317.040009,317.450012,317.113556,11294300
META,2023-11-03,22:42:57,inconclusive,2023,11,03,312.549988,315.549988,311.019989,314.600006,314.266571,16754100
META,2023-12-19,04:39:46,false,2023,12,19,345.579987,353.600006,345.119995,350.359985,349.988647,17729400
META,2023-07-10,04:30:32,true,2023,07,10,295.549988,298.130005,287.049988,294.100006,293.788300,37058300
META,2023-10-25,22:42:55,inconclusive,2023,10,25,310.000000,310.880005,298.839996,299.529999,299.212524,42192500
META,2024-02-02,20:57:09,true,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-12-06,00:19:25,true,2023,12,06,321.929993,322.250000,317.040009,317.450012,317.113556,11294300
META,2023-07-12,19:59:57,true,2023,07,12,301.750000,309.450012,300.100006,309.339996,309.012115,36677100
META,2023-07-06,18:51:15,inconclusive,2023,07,06,295.890015,298.119995,291.309998,291.989990,291.680511,47600500
META,2024-01-07,20:30:10,inconclusive,2024,01,07,346.989990,353.500000,346.260010,351.950012,351.576996,13920700
META,2023-04-27,02:31:51,false,2023,04,27,239.889999,241.690002,236.770004,238.559998,238.307144,71196500
META,2023-06-05,18:44:00,false,2023,06,05,270.299988,275.570007,269.559998,271.390015,271.102356,20742900
META,2023-04-27,12:58:39,inconclusive,2023,04,27,239.889999,241.690002,236.770004,238.559998,238.307144,71196500
META,2023-07-31,09:51:53,inconclusive,2023,07,31,323.690002,325.660004,317.589996,318.600006,318.262329,25799600
META,2024-01-10,19:11:17,false,2024,01,10,360.170013,372.940002,359.079987,370.470001,370.077332,22117200
META,2023-11-22,02:07:35,false,2023,11,22,339.209991,342.920013,338.579987,341.489990,341.128052,10702700
META,2024-02-02,00:55:01,inconclusive,2024,02,02,459.600006,485.959991,453.010010,474.989990,474.486542,84615500
META,2023-07-05,00:25:39,inconclusive,2023,07,05,287.649994,298.119995,286.359985,294.369995,294.057983,33865500
META,2023-07-05,19:48:08,inconclusive,2023,07,05,287.649994,298.119995,286.359985,294.369995,294.057983,33865500
META,2023-07-10,22:38:11,true,2023,07,10,295.549988,298.130005,287.049988,294.100006,293.788300,37058300
META,2023-09-27,22:37:05,false,2023,09,27,300.450012,301.299988,286.790009,297.739990,297.424408,36429800
META,2024-02-01,22:09:48,false,2024,02,01,393.940002,400.500000,393.049988,394.779999,394.361572,29727100
META,2023-04-27,13:48:56,true,2023,04,27,239.889999,241.690002,236.770004,238.559998,238.307144,71196500
