stock,date,time,sentiment,year,month,day,open,high,low,close,adj_close,volume
NVDA,2024-01-30,20:24:33,false,2024,01,30,629.000000,634.929993,622.599976,627.739990,627.739990,41073500
NVDA,2024-02-06,03:51:52,false,2024,02,06,696.299988,697.539978,663.000000,682.229980,682.229980,68311100
NVDA,2023-12-22,18:21:48,false,2023,12,22,491.950012,493.829987,484.670013,488.299988,488.299988,25213900
NVDA,2024-01-17,20:30:50,false,2024,01,17,563.469971,564.710022,547.400024,560.530029,560.530029,47439400
NVDA,2023-08-15,01:54:24,true,2023,08,15,445.600006,452.679993,437.100006,439.399994,439.325165,67651200
NVDA,2024-01-18,14:03:19,true,2024,01,18,572.599976,576.000000,561.070007,571.070007,571.070007,49165000
NVDA,2024-02-12,17:07:05,true,2024,02,12,726.000000,746.109985,712.500000,722.479980,722.479980,61371000
NVDA,2024-01-31,01:33:04,inconclusive,2024,01,31,614.400024,622.690002,607.000000,615.270020,615.270020,45379500
NVDA,2023-05-24,12:20:31,inconclusive,2023,05,24,302.100006,306.070007,298.059998,305.380005,305.296417,72141900
NVDA,2023-07-30,21:37:50,inconclusive,2023,07,30,466.679993,470.269989,463.809998,467.500000,467.420380,33119400
NVDA,2024-02-17,11:31:18,true,2024,02,17,741.000000,744.020020,725.010010,726.130005,726.130005,49391800
NVDA,2024-02-03,18:41:31,true,2024,02,03,639.739990,666.000000,636.900024,661.599976,661.599976,47578000
NVDA,2023-08-23,21:16:43,inconclusive,2023,08,23,458.660004,472.000000,452.079987,471.160004,471.079773,77904600
NVDA,2023-07-23,20:21:30,true,2023,07,23,457.880005,458.660004,441.000000,443.089996,443.014557,96283200
NVDA,2024-02-14,03:10:50,inconclusive,2024,02,14,732.020020,742.359985,719.380005,739.000000,739.000000,50491700
NVDA,2024-02-09,18:27:37,false,2024,02,09,705.330017,721.849976,702.119995,721.330017,721.330017,43663700
NVDA,2024-02-05,04:12:28,inconclusive,2024,02,05,682.250000,694.969971,672.049988,693.320007,693.320007,68007800
NVDA,2024-02-11,15:32:15,inconclusive,2024,02,11,705.330017,721.849976,702.119995,721.330017,721.330017,43663700
NVDA,2023-05-30,13:38:24,inconclusive,2023,05,30,405.950012,419.380005,399.489990,401.109985,401.000183,92340100
NVDA,2023-12-01,19:01:06,inconclusive,2023,12,01,465.250000,472.000000,461.869995,467.649994,467.608887,36880900
NVDA,2024-02-08,15:14:26,true,2024,02,08,700.739990,707.940002,694.549988,696.409973,696.409973,41442200
NVDA,2023-03-11,20:21:21,false,2023,03,11,234.089996,236.270004,227.259995,229.649994,229.587128,47486600
NVDA,2024-02-03,22:48:34,true,2024,02,03,639.739990,666.000000,636.900024,661.599976,661.599976,47578000
NVDA,2023-07-15,00:24:59,inconclusive,2023,07,15,465.829987,480.880005,450.600006,454.690002,454.612579,77066400
