stock,date,senti_raise,senti_drop,senti_inconclusive,year,month,day,open,high,low,close,adj_close,volume
GOOGL,2024-01-26,1,0,2,2024,01,26,151.100006,152.539993,151.009995,152.190002,152.190002,26115500
GOOGL,2024-02-15,1,0,4,2024,02,15,143.139999,143.520004,140.460007,142.770004,142.770004,37590700
GOOGL,2023-10-14,0,1,2,2023,10,14,139.380005,140.000000,136.619995,137.360001,137.360001,23420500
GOOGL,2023-05-10,2,1,6,2023,05,10,107.970001,112.940002,107.930000,111.750000,111.750000,63153400
GOOGL,2023-05-11,2,0,1,2023,05,11,115.400002,117.919998,114.410004,116.570000,116.570000,78900000
GOOGL,2023-10-26,0,3,2,2023,10,26,123.269997,124.330002,121.269997,122.279999,122.279999,57061100
GOOGL,2023-10-25,0,3,2,2023,10,25,128.160004,128.309998,125.070000,125.610001,125.610001,84366200
GOOGL,2023-02-21,0,0,6,2023,02,21,,,,,,
GOOGL,2024-02-12,0,0,5,2024,02,12,148.419998,149.339996,147.369995,147.529999,147.529999,21564100
GOOGL,2023-07-13,0,0,4,2023,07,13,120.930000,124.830002,120.449997,124.540001,124.540001,44297900
GOOGL,2023-10-24,2,3,0,2023,10,24,137.830002,139.360001,137.419998,138.809998,138.809998,44814300
GOOGL,2023-03-16,1,0,2,2023,03,16,96.199997,101.190002,95.500000,100.320000,100.320000,65492000
GOOGL,2023-03-03,0,0,4,2023,03,03,92.480003,93.730003,92.449997,93.650002,93.650002,35160100
GOOGL,2023-04-04,0,0,5,2023,04,04,104.330002,105.580002,104.040001,104.720001,104.720001,24420100
GOOGL,2023-12-29,0,0,5,2023,12,29,139.630005,140.360001,138.779999,139.690002,139.690002,18727200
GOOGL,2023-12-08,0,1,2,2023,12,08,134.199997,136.399994,134.029999,134.990005,134.990005,32233900
GOOGL,2023-06-28,0,2,5,2023,06,28,117.089996,120.389999,116.849998,120.180000,120.180000,27091400
GOOGL,2024-01-11,0,0,3,2024,01,11,143.490005,145.220001,140.639999,142.080002,142.080002,24008700
GOOGL,2023-03-17,2,0,0,2023,03,17,100.260002,102.839996,100.099998,101.620003,101.620003,61028500
GOOGL,2024-01-16,0,0,7,2024,01,16,142.000000,144.350006,141.449997,142.490005,142.490005,22670500
GOOGL,2024-01-08,1,0,2,2024,01,08,136.289993,139.009995,136.259995,138.839996,138.839996,21404000
GOOGL,2024-02-05,0,1,5,2024,02,05,142.820007,145.470001,142.779999,143.679993,143.679993,38505400
GOOGL,2023-10-27,0,0,2,2023,10,27,122.879997,123.309998,120.209999,122.169998,122.169998,44566500
GOOGL,2023-12-12,0,2,2,2023,12,12,131.809998,133.000000,131.259995,132.520004,132.520004,29032800
GOOGL,2024-01-14,0,0,2,2024,01,14,142.669998,143.199997,141.820007,142.649994,142.649994,18768600
GOOGL,2024-01-10,1,0,3,2024,01,10,141.000000,143.000000,140.910004,142.279999,142.279999,21320200
GOOGL,2024-01-18,0,1,6,2024,01,18,142.050003,144.210007,141.990005,143.479996,143.479996,25746400
GOOGL,2023-10-20,1,0,1,2023,10,20,137.330002,137.869995,135.080002,135.600006,135.600006,26315200
GOOGL,2024-01-07,0,1,2,2024,01,07,136.750000,137.160004,135.149994,135.729996,135.729996,22506000
GOOGL,2023-12-09,0,0,2,2023,12,09,134.199997,136.399994,134.029999,134.990005,134.990005,32233900
GOOGL,2023-03-01,0,1,3,2023,03,01,89.980003,91.029999,89.669998,90.360001,90.360001,31111200
GOOGL,2024-01-22,0,1,6,2024,01,22,147.100006,148.389999,145.839996,145.990005,145.990005,32200400
